course_id,userid_DI,final_cc_cname_DI,LoE_DI,YoB,gender,ndays_act
HarvardX/CB22x/2013_Spring,MHxPC130069875,India,Secondary,1994,m,4
HarvardX/CB22x/2013_Spring,MHxPC130114587,Other South America,Bachelor's,1990,m,4
HarvardX/CB22x/2013_Spring,MHxPC130122866,Other Europe,Master's,1978,m,1
HarvardX/CB22x/2013_Spring,MHxPC130470188,Other East Asia,Bachelor's,1983,m,2
HarvardX/CB22x/2013_Spring,MHxPC130263156,Other Europe,Master's,1977,m,2
HarvardX/CB22x/2013_Spring,MHxPC130166676,India,Bachelor's,1991,f,2
HarvardX/CB22x/2013_Spring,MHxPC130310675,India,Bachelor's,1990,m,4
HarvardX/CB22x/2013_Spring,MHxPC130490118,Mexico,Secondary,1991,m,2
HarvardX/CB22x/2013_Spring,MHxPC130378021,Other East Asia,Bachelor's,1990,m,7
HarvardX/CB22x/2013_Spring,MHxPC130419064,India,Bachelor's,1989,m,1
HarvardX/CB22x/2013_Spring,MHxPC130494943,United States,Master's,1973,m,1
HarvardX/CB22x/2013_Spring,MHxPC130076788,Other South Asia,Secondary,1994,m,6
HarvardX/CB22x/2013_Spring,MHxPC130547328,India,Secondary,1991,m,2
HarvardX/CB22x/2013_Spring,MHxPC130456291,Other Europe,Secondary,1983,m,1
HarvardX/CB22x/2013_Spring,MHxPC130543887,India,Bachelor's,1988,m,1
HarvardX/CB22x/2013_Spring,MHxPC130524716,India,Secondary,1991,m,4
HarvardX/CB22x/2013_Spring,MHxPC130531667,Other Europe,Bachelor's,1982,m,5
HarvardX/CB22x/2013_Spring,MHxPC130252839,Other Africa,Secondary,1993,m,3
HarvardX/CB22x/2013_Spring,MHxPC130171217,Other Europe,Secondary,1983,m,4
HarvardX/CB22x/2013_Spring,MHxPC130126585,Bangladesh,Secondary,1992,m,1
HarvardX/CB22x/2013_Spring,MHxPC130360177,Unknown/Other,Master's,1979,m,0
HarvardX/CB22x/2013_Spring,MHxPC130061043,United Kingdom,Secondary,1988,f,1
HarvardX/CB22x/2013_Spring,MHxPC130386513,India,Master's,1981,m,2
HarvardX/CB22x/2013_Spring,MHxPC130413350,Unknown/Other,Secondary,1992,m,0
HarvardX/CB22x/2013_Spring,MHxPC130546123,Brazil,Bachelor's,1988,m,3
HarvardX/CB22x/2013_Spring,MHxPC130554044,India,Secondary,1992,m,1
HarvardX/CB22x/2013_Spring,MHxPC130466518,Brazil,Bachelor's,1990,m,1
HarvardX/CB22x/2013_Spring,MHxPC130538197,United States,Bachelor's,1977,f,3
HarvardX/CB22x/2013_Spring,MHxPC130439781,Other Europe,Master's,1984,m,3
HarvardX/CB22x/2013_Spring,MHxPC130586797,Unknown/Other,Master's,1979,m,0
HarvardX/CB22x/2013_Spring,MHxPC130215246,United States,Master's,1987,m,26
HarvardX/CB22x/2013_Spring,MHxPC130483632,Greece,Master's,1984,f,2
HarvardX/CB22x/2013_Spring,MHxPC130378284,Egypt,Secondary,1992,m,2
HarvardX/CB22x/2013_Spring,MHxPC130389539,United States,Secondary,1990,f,1
HarvardX/CB22x/2013_Spring,MHxPC130103685,United States,Bachelor's,1987,m,1
HarvardX/CB22x/2013_Spring,MHxPC130268528,United States,Secondary,1996,m,15
HarvardX/CB22x/2013_Spring,MHxPC130506007,Unknown/Other,Bachelor's,1988,f,0
HarvardX/CB22x/2013_Spring,MHxPC130153927,Canada,Bachelor's,1987,f,1
HarvardX/CB22x/2013_Spring,MHxPC130226849,United States,Master's,1979,m,20
HarvardX/CB22x/2013_Spring,MHxPC130564204,United States,Bachelor's,1979,m,2
HarvardX/CB22x/2013_Spring,MHxPC130531226,Greece,Secondary,1990,m,3
HarvardX/CB22x/2013_Spring,MHxPC130508612,India,Secondary,1992,m,1
HarvardX/CB22x/2013_Spring,MHxPC130182126,Mexico,Secondary,1991,m,18
HarvardX/CB22x/2013_Spring,MHxPC130578969,Canada,Secondary,1989,m,1
HarvardX/CB22x/2013_Spring,MHxPC130030877,Other South Asia,Secondary,1992,m,13
HarvardX/CB22x/2013_Spring,MHxPC130048139,Other Europe,Secondary,1985,m,1
HarvardX/CB22x/2013_Spring,MHxPC130165183,Brazil,Master's,1984,m,0
HarvardX/CB22x/2013_Spring,MHxPC130114777,Other South Asia,Master's,1983,m,1
HarvardX/CB22x/2013_Spring,MHxPC130130022,Canada,Secondary,1994,m,7
